"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2021","1169.20","1152.30","1177.60","1144.00","3.03K","2.19%"
"06/13/2021","1144.15","1150.25","1151.90","1143.50","","-0.94%"
"06/11/2021","1155.00","1156.00","1164.50","1149.00","2.26K","0.43%"
"06/10/2021","1150.10","1155.40","1159.00","1131.40","3.52K","-0.48%"
"06/09/2021","1155.70","1165.80","1170.00","1153.30","2.45K","-0.92%"
"06/08/2021","1166.40","1178.80","1183.00","1160.00","2.56K","-1.05%"
"06/07/2021","1178.80","1172.30","1181.30","1164.60","2.20K","0.70%"
"06/06/2021","1170.60","1165.40","1171.30","1165.40","","0.18%"
"06/04/2021","1168.50","1164.40","1172.20","1146.70","2.26K","0.16%"
"06/03/2021","1166.60","1198.80","1201.10","1153.50","2.87K","-2.52%"
"06/02/2021","1196.70","1200.40","1201.50","1185.00","2.61K","-0.59%"
"06/01/2021","1203.80","1188.20","1214.20","1181.00","1.08K","0.87%"
"05/31/2021","1193.40","1187.40","1193.90","1183.65","","0.50%"
"05/30/2021","1187.45","1184.70","1187.90","1183.60","","0.07%"
"05/28/2021","1186.60","1185.00","1191.00","1175.00","0.85K","0.27%"
"05/27/2021","1183.40","1200.00","1204.90","1175.90","1.81K","-1.51%"
"05/26/2021","1201.60","1198.40","1217.25","1191.70","","0.05%"
"05/25/2021","1201.00","1175.00","1203.20","1173.00","1.58K","1.64%"
"05/24/2021","1181.60","1171.00","1187.00","1165.90","1.26K","0.60%"
"05/23/2021","1174.60","1169.95","1177.30","1166.85","","0.10%"
"05/21/2021","1173.40","1203.80","1210.30","1171.40","1.48K","-2.90%"
"05/20/2021","1208.50","1199.90","1213.50","1199.90","0.10K","0.29%"
"05/19/2021","1205.00","1225.00","1227.50","1189.70","0.35K","-1.93%"
"05/18/2021","1228.70","1248.50","1255.80","1219.00","0.35K","-1.54%"
"05/17/2021","1247.90","1238.40","1250.40","1233.50","0.23K","1.34%"
"05/16/2021","1231.40","1227.80","1235.40","1227.80","","0.43%"
"05/14/2021","1226.10","1219.70","1239.00","1219.70","0.11K","1.36%"
"05/13/2021","1209.70","1220.00","1225.50","1203.60","0.46K","-1.59%"
"05/12/2021","1229.20","1243.20","1251.00","1216.90","0.39K","-1.25%"
"05/11/2021","1244.80","1253.00","1258.20","1220.00","0.48K","-1.91%"
"05/10/2021","1269.00","1257.60","1281.20","1255.20","0.23K","0.61%"
"05/09/2021","1261.25","1252.60","1263.00","1252.60","","0.27%"
"05/07/2021","1257.90","1259.00","1276.40","1245.00","0.35K","-0.24%"
"05/06/2021","1260.90","1228.20","1261.20","1225.00","0.20K","2.32%"
"05/05/2021","1232.30","1240.00","1248.20","1219.00","0.20K","-0.24%"
"05/04/2021","1235.30","1238.60","1275.00","1225.00","0.36K","0.14%"
"05/03/2021","1233.60","1207.00","1250.90","1199.00","0.14K","2.53%"
"05/02/2021","1203.20","1203.60","1204.50","1200.00","","-0.46%"
"04/30/2021","1208.70","1210.10","1229.30","1202.60","0.27K","0.63%"
"04/29/2021","1201.10","1226.10","1231.60","1180.00","0.15K","-0.92%"
"04/28/2021","1212.20","1235.80","1235.80","1207.50","14.60K","-2.99%"
"04/27/2021","1249.50","1248.30","1261.80","1232.30","12.52K","0.35%"
"04/26/2021","1245.20","1233.80","1253.80","1230.50","11.19K","0.74%"
"04/25/2021","1236.00","1234.70","1238.00","1233.15","","0.24%"
"04/23/2021","1233.10","1208.50","1256.70","1204.50","19.04K","2.04%"
"04/22/2021","1208.50","1217.00","1221.90","1200.30","10.38K","-0.51%"
"04/21/2021","1214.70","1189.00","1223.30","1186.30","14.03K","1.54%"
"04/20/2021","1196.30","1212.40","1214.50","1185.10","13.35K","-0.85%"
"04/19/2021","1206.50","1207.40","1231.90","1202.30","10.73K","0.10%"
"04/18/2021","1205.35","1206.70","1207.50","1203.90","","-0.28%"
"04/16/2021","1208.70","1199.60","1212.90","1192.30","8.82K","0.71%"
"04/15/2021","1200.20","1174.00","1207.20","1172.60","12.56K","1.94%"
"04/14/2021","1177.40","1159.40","1188.00","1158.10","13.95K","1.75%"
"04/13/2021","1157.10","1174.80","1186.40","1155.60","19.64K","-1.51%"
"04/12/2021","1174.80","1208.30","1209.40","1168.90","12.97K","-2.70%"
