Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,42.799999,42.950001,40.759998,40.799999,35.229977,1573861
2020-10-16,40.820000,42.450001,40.020000,42.099998,36.352501,1213883
2020-10-19,42.930000,43.400002,42.279999,42.639999,36.818783,1263641
2020-10-20,42.599998,43.080002,41.439999,42.450001,36.654720,867743
2020-10-21,42.490002,43.099998,41.799999,41.799999,36.093456,664705
2020-10-22,41.500000,42.189999,41.000000,41.840000,36.127995,847850
2020-10-23,42.020000,42.700001,41.540001,41.759998,36.058918,1372466
2020-10-26,41.279999,41.580002,40.119999,40.119999,34.642811,831604
2020-10-27,40.200001,40.299999,38.090000,38.650002,33.373497,1893772
2020-10-28,38.000000,39.000000,37.200001,37.740002,32.587730,1322678
2020-10-29,39.700001,39.740002,37.740002,38.990002,33.667076,1931251
2020-10-30,38.970001,38.970001,37.549999,38.099998,32.898579,1513862
2020-11-02,38.520000,38.990002,38.000000,38.910000,33.598003,1237227
2020-11-03,39.200001,42.880001,39.099998,42.770000,36.931034,2939846
2020-11-04,42.599998,42.720001,40.220001,41.009998,35.411308,1661945
2020-11-05,41.189999,41.700001,40.419998,40.779999,35.212708,1536571
2020-11-06,40.720001,40.779999,38.759998,39.459999,34.072914,1304588
2020-11-09,40.119999,45.400002,39.520000,45.139999,38.977478,4060341
2020-11-10,46.000000,49.790001,45.099998,47.939999,41.395222,3903216
2020-11-11,47.939999,47.939999,47.939999,47.939999,41.395222,0
2020-11-12,47.820000,49.000000,45.580002,46.919998,40.514469,2656991
2020-11-13,46.849998,46.849998,45.200001,45.759998,39.512836,1175617
2020-11-16,46.840000,49.680000,46.610001,49.599998,42.828598,2728175
2020-11-17,49.990002,51.880001,49.009998,50.360001,43.484844,3527158
2020-11-18,50.360001,52.459999,49.849998,52.400002,45.246346,1784027
2020-11-19,51.599998,51.779999,50.040001,50.279999,43.415764,1597091
2020-11-20,50.299999,50.439999,48.349998,50.040001,43.208530,2714851
2020-11-23,51.799999,52.880001,50.599998,52.540001,45.367233,1743461
2020-11-24,53.000000,54.380001,52.919998,54.020000,46.645180,2076896
2020-11-25,54.520000,55.200001,53.200001,53.500000,46.196175,1887627
2020-11-26,53.520000,54.180000,53.160000,54.000000,46.627911,720162
2020-11-27,53.799999,53.799999,52.599998,53.520000,46.213440,858331
2020-11-30,52.799999,58.080002,50.680000,55.340000,47.784973,7686239
2020-12-01,57.000000,57.480000,55.799999,56.980000,49.201080,2346083
2020-12-02,57.240002,57.240002,55.259998,56.320000,48.631187,1613308
2020-12-03,56.500000,56.779999,55.480000,55.480000,47.905861,1464581
2020-12-04,56.419998,57.599998,55.680000,57.500000,49.650089,1660774
2020-12-07,57.639999,59.860001,56.880001,59.599998,51.463398,2644167
2020-12-08,59.500000,60.680000,58.799999,60.000000,51.808792,2126961
2020-12-09,60.000000,62.500000,59.900002,61.700001,53.276711,2571429
2020-12-10,61.759998,62.360001,60.099998,61.980000,53.518482,2152723
